Date,Open,High,Low,Close,Volume
2024-01-03,369.01,373.2562,368.51,370.6,23083465
2024-01-04,370.665,373.1,367.17,367.94,20901502
2024-01-05,368.97,372.06,366.5,367.75,21004575
2024-01-08,369.3,375.2,369.01,374.69,23133967
2024-01-09,372.01,375.99,371.19,375.79,20829953
2024-01-10,376.37,384.17,376.32,382.77,25514245
2024-01-11,386,390.68,380.38,384.63,27850846
2024-01-12,385.49,388.68,384.65,388.47,21661153
2024-01-16,393.66,394.03,387.6229,390.27,27202268
2024-01-17,387.98,390.11,384.81,389.47,22234108
2024-01-18,391.72,393.99,390.12,393.87,23392068
2024-01-19,395.76,398.67,393.5,398.67,29331136
2024-01-22,400.02,400.62,393.59,396.51,27016902
2024-01-23,395.75,399.38,393.93,398.9,20525882
2024-01-24,401.54,405.63,400.45,402.56,24866953
2024-01-25,404.32,407.01,402.5294,404.87,21021155
2024-01-26,404.37,406.17,402.43,403.93,17803271
2024-01-29,406.06,409.98,404.33,409.72,24510236
2024-01-30,412.26,413.05,406.4501,408.59,33477610
2024-01-31,406.96,415.32,397.21,397.58,47871097
2024-02-01,401.83,408,401.8,403.78,30657726
2024-02-02,403.81,412.65,403.56,411.22,28256670
2024-02-05,409.9,411.16,403.99,405.65,25352286
2024-02-06,405.88,407.97,402.91,405.49,18382624
2024-02-07,407.44,414.3,407.4,414.05,22340526
2024-02-08,414.05,415.56,412.53,414.11,21225257
2024-02-09,415.25,420.82,415.09,420.55,22032844
2024-02-12,420.555,420.74,414.75,415.26,21202921
2024-02-13,404.94,410.071,403.39,406.32,27824936
2024-02-14,408.07,409.84,404.57,409.49,20401190
2024-02-15,408.14,409.13,404.29,406.56,21825525
2024-02-16,407.96,408.29,403.44,404.06,22296495
2024-02-20,403.24,404.49,398.01,402.79,24307915
2024-02-21,400.17,402.29,397.22,402.18,18631072
2024-02-22,410.19,412.83,408.57,411.65,27009869
2024-02-23,415.67,415.86,408.97,410.34,16295879
2024-02-26,411.455,412.16,407.36,407.54,16193505
2024-02-27,407.99,408.32,403.85,407.48,14835827
2024-02-28,408.175,409.3,405.3201,407.72,13183125
2024-02-29,408.64,414.2,405.92,413.64,31947263
2024-03-01,411.27,415.87,410.88,415.5,17823445
2024-03-04,413.44,417.35,412.32,414.92,17595956
2024-03-05,413.96,414.25,400.64,402.65,26919177
2024-03-06,402.97,405.16,398.39,402.09,22344149
2024-03-07,406.12,409.78,402.24,409.14,18718479
2024-03-08,407.96,410.42,404.33,406.22,18002186
